check,expected,actual,status,detail
output tracked: outputs/registered_prediction_D018.csv,tracked,tracked,PASS,
output tracked: outputs/regulation_counterfactual.csv,tracked,tracked,PASS,
output tracked: outputs/regulation_depth_sweep.csv,tracked,tracked,PASS,
output tracked: outputs/regulation_module_reach.csv,tracked,tracked,PASS,
output tracked: outputs/regulation_product_range.csv,tracked,tracked,PASS,
output tracked: outputs/regulation_task_priority.csv,tracked,tracked,PASS,
output tracked: outputs/scenario_predictions.csv,tracked,tracked,PASS,
output tracked: outputs/sensor_characterisation.csv,tracked,tracked,PASS,
output tracked: outputs/sensor_crosstalk.csv,tracked,tracked,PASS,
output tracked: outputs/split_manifest.csv,tracked,tracked,PASS,
output tracked: outputs/split_manifest_summary.csv,tracked,tracked,PASS,
output tracked: outputs/stress_diversion.csv,tracked,tracked,PASS,
output tracked: outputs/stress_model_build.npz,tracked or ignored,ignored,PASS,
output tracked: outputs/stress_model_three_sensor.npz,tracked or ignored,ignored,PASS,
output tracked: outputs/stress_model_wide.npz,tracked or ignored,ignored,PASS,
output tracked: outputs/stress_module_ledger.csv,tracked,tracked,PASS,
output tracked: outputs/target_scoreboard.csv,tracked,tracked,PASS,
output tracked: outputs/thiolase_threshold.csv,tracked,tracked,PASS,
output tracked: outputs/training_recovery.csv,tracked,tracked,PASS,
output tracked: outputs/training_transfer_build.csv,tracked,tracked,PASS,
output tracked: outputs/training_transfer_three_sensor.csv,tracked,tracked,PASS,
output tracked: outputs/training_transfer_wide.csv,tracked,tracked,PASS,
output tracked: outputs/transfer_by_stressor.csv,tracked,tracked,PASS,
table parses: outputs/afl_circuit.csv,>= 1 data row,196 rows,PASS,
table parses: outputs/audit_claims.csv,>= 1 data row,293 rows,PASS,
table parses: outputs/audit_determinism.csv,>= 1 data row,72 rows,PASS,
table parses: outputs/audit_output_tables.csv,>= 1 data row,15 rows,PASS,
table parses: outputs/audit_reproducibility.csv,>= 1 data row,482 rows,PASS,
table parses: outputs/autofluorescence_measured.csv,>= 1 data row,30 rows,PASS,
table parses: outputs/autofluorescence_sensitivity.csv,>= 1 data row,120 rows,PASS,
table parses: outputs/batch_sufficiency.csv,>= 1 data row,4 rows,PASS,
table parses: outputs/carotenoid_fit.csv,>= 1 data row,11 rows,PASS,
table parses: outputs/carotenoid_heldout.csv,>= 1 data row,6 rows,PASS,
table parses: outputs/carotenoid_parsimony.csv,>= 1 data row,6 rows,PASS,
table parses: outputs/carotenoid_strain_capacity.csv,>= 1 data row,3 rows,PASS,
table parses: outputs/condition_sweep.csv,>= 1 data row,24 rows,PASS,
table parses: outputs/cross_family_optimism.csv,>= 1 data row,1 rows,PASS,
table parses: outputs/cross_family_transfer.csv,>= 1 data row,7 rows,PASS,
table parses: outputs/d1_capacity_sweep_ec.csv,>= 1 data row,6 rows,PASS,
table parses: outputs/d2_20260701_ER_preliminary_(RAW)__mCitrine.csv,>= 1 data row,77 rows,PASS,
table parses: outputs/d2_20260709_ER_stress_1st_(RAW)__mCitrine.csv,>= 1 data row,41 rows,PASS,
table parses: outputs/d2_g1passed_20260701_ER_preliminary_(RAW).csv,>= 1 data row,53 rows,PASS,
table parses: outputs/d2_g1passed_20260709_ER_stress_1st_(RAW).csv,>= 1 data row,8 rows,PASS,
table parses: outputs/d2_g1passed_20260722_ERandOxidativeStress_NewProtocol_ANALYSED.csv,>= 1 data row,67 rows,PASS,
table parses: outputs/d2_g1passed_20260728_ERandOxidativeStress_NewProtocol_Replicate2.csv,>= 1 data row,64 rows,PASS,
table parses: outputs/d2_g1passed_20260803_ERandoxidativestress_Replicate3.csv,>= 1 data row,52 rows,PASS,
table parses: outputs/env_to_product.csv,>= 1 data row,17 rows,PASS,
table parses: outputs/env_to_product_multi.csv,>= 1 data row,50 rows,PASS,
table parses: outputs/environment_channel.csv,>= 1 data row,7 rows,PASS,
table parses: outputs/environment_law_scores.csv,>= 1 data row,5 rows,PASS,
table parses: outputs/error_budget.csv,>= 1 data row,6 rows,PASS,
table parses: outputs/estimator_accuracy.csv,>= 1 data row,30 rows,PASS,
table parses: outputs/external_channel_response.csv,>= 1 data row,17 rows,PASS,
table parses: outputs/external_channel_response_independent.csv,>= 1 data row,17 rows,PASS,
table parses: outputs/external_conditions.csv,>= 1 data row,155 rows,PASS,
table parses: outputs/external_conditions_independent.csv,>= 1 data row,155 rows,PASS,
table parses: outputs/external_module_map.csv,>= 1 data row,24 rows,PASS,
table parses: outputs/external_module_map_independent.csv,>= 1 data row,24 rows,PASS,
table parses: outputs/external_module_response.csv,>= 1 data row,17 rows,PASS,
table parses: outputs/external_module_response_independent.csv,>= 1 data row,17 rows,PASS,
table parses: outputs/external_nulls.csv,>= 1 data row,6 rows,PASS,
table parses: outputs/external_nulls_independent.csv,>= 1 data row,6 rows,PASS,
table parses: outputs/external_redundancy.csv,>= 1 data row,8 rows,PASS,
table parses: outputs/external_redundancy_independent.csv,>= 1 data row,8 rows,PASS,
table parses: outputs/external_transfer_pairs.csv,>= 1 data row,18 rows,PASS,
table parses: outputs/external_transfer_pairs_independent.csv,>= 1 data row,14 rows,PASS,
table parses: outputs/fedbatch_design.csv,>= 1 data row,4 rows,PASS,
table parses: outputs/figures_manifest.csv,>= 1 data row,4 rows,PASS,
table parses: outputs/flux_experiment_design.csv,>= 1 data row,6 rows,PASS,
table parses: outputs/flux_null_baseline.csv,>= 1 data row,5 rows,PASS,
table parses: outputs/fold_multiplicity.csv,>= 1 data row,24 rows,PASS,
table parses: outputs/g1_20260701_ER_preliminary_(RAW).csv,>= 1 data row,90 rows,PASS,
table parses: outputs/g1_20260709_ER_stress_1st_(RAW).csv,>= 1 data row,42 rows,PASS,
table parses: outputs/g1_20260722_ERandOxidativeStress_NewProtocol_ANALYSED.csv,>= 1 data row,84 rows,PASS,
table parses: outputs/g1_20260728_ERandOxidativeStress_NewProtocol_Replicate2.csv,>= 1 data row,84 rows,PASS,
table parses: outputs/g1_20260803_ERandoxidativestress_Replicate3.csv,>= 1 data row,86 rows,PASS,
table parses: outputs/g4_anchor_fold_change.csv,>= 1 data row,36 rows,PASS,
table parses: outputs/g4_reporter_response.csv,>= 1 data row,84 rows,PASS,
table parses: outputs/g4_rt_minus_qc.csv,>= 1 data row,144 rows,PASS,
table parses: outputs/g4_verdicts.csv,>= 1 data row,4 rows,PASS,
table parses: outputs/gain_linearity.csv,>= 1 data row,243 rows,PASS,
table parses: outputs/gem_environment_formulation.csv,>= 1 data row,7 rows,PASS,
table parses: outputs/gem_environment_predictions.csv,>= 1 data row,16 rows,PASS,
table parses: outputs/gem_environment_scores.csv,>= 1 data row,5 rows,PASS,
table parses: outputs/gem_version_diff.csv,>= 1 data row,19 rows,PASS,
table parses: outputs/glycogen_calibration.csv,>= 1 data row,3 rows,PASS,
table parses: outputs/heldout_interpolation_by_dose.csv,>= 1 data row,6 rows,PASS,
table parses: outputs/heldout_scores.csv,>= 1 data row,12 rows,PASS,
table parses: outputs/late_window_sensitivity.csv,>= 1 data row,144 rows,PASS,
table parses: outputs/maintenance_scale.csv,>= 1 data row,3 rows,PASS,
table parses: outputs/module_recovery.csv,>= 1 data row,24 rows,PASS,
table parses: outputs/nis_innovations.csv,>= 1 data row,15900 rows,PASS,
table parses: outputs/nis_summary.csv,>= 1 data row,636 rows,PASS,
table parses: outputs/panel_calibration.csv,>= 1 data row,4 rows,PASS,
table parses: outputs/parameter_provenance.csv,>= 1 data row,15 rows,PASS,
table parses: outputs/phb_environment_score.csv,>= 1 data row,11 rows,PASS,
table parses: outputs/power_analysis.csv,>= 1 data row,28 rows,PASS,
table parses: outputs/product_environment_coverage.csv,>= 1 data row,4 rows,PASS,
table parses: outputs/product_environment_sweep.csv,>= 1 data row,216 rows,PASS,
table parses: outputs/product_prediction.csv,>= 1 data row,6 rows,PASS,
table parses: outputs/product_scoreboard.csv,>= 1 data row,4 rows,PASS,
table parses: outputs/proteomics_gain.csv,>= 1 data row,6 rows,PASS,
table parses: outputs/registered_prediction_D018.csv,>= 1 data row,3 rows,PASS,
table parses: outputs/regulation_counterfactual.csv,>= 1 data row,8 rows,PASS,
table parses: outputs/regulation_depth_sweep.csv,>= 1 data row,8 rows,PASS,
table parses: outputs/regulation_module_reach.csv,>= 1 data row,24 rows,PASS,
table parses: outputs/regulation_product_range.csv,>= 1 data row,28 rows,PASS,
table parses: outputs/regulation_task_priority.csv,>= 1 data row,2 rows,PASS,
table parses: outputs/scenario_predictions.csv,>= 1 data row,56 rows,PASS,
table parses: outputs/sensor_characterisation.csv,>= 1 data row,335 rows,PASS,
table parses: outputs/sensor_crosstalk.csv,>= 1 data row,28 rows,PASS,
table parses: outputs/split_manifest.csv,>= 1 data row,2616 rows,PASS,
table parses: outputs/split_manifest_summary.csv,>= 1 data row,51 rows,PASS,
table parses: outputs/stress_diversion.csv,>= 1 data row,60 rows,PASS,
table parses: outputs/stress_module_ledger.csv,>= 1 data row,48 rows,PASS,
table parses: outputs/target_scoreboard.csv,>= 1 data row,5 rows,PASS,
table parses: outputs/thiolase_threshold.csv,>= 1 data row,6 rows,PASS,
table parses: outputs/training_recovery.csv,>= 1 data row,24 rows,PASS,
table parses: outputs/training_transfer_build.csv,>= 1 data row,25 rows,PASS,
table parses: outputs/training_transfer_three_sensor.csv,>= 1 data row,25 rows,PASS,
table parses: outputs/training_transfer_wide.csv,>= 1 data row,25 rows,PASS,
table parses: outputs/transfer_by_stressor.csv,>= 1 data row,12 rows,PASS,
output not older than its code: outputs/afl_circuit.csv,at least as new as scripts/score_afl_circuit.py and the 7 ystwin modules it reaches,74.3 h stale,SKIP,"74.3 h stale and NOT REBUILDABLE HERE: scripts/score_afl_circuit.py needs ['gen5_xpt_dir'], which resolve to nothing on this machine. src/ystwin/paths.py changed after the table was written, so it may describe behaviour the code no longer has -- but re-running here would replace it with a table built from partial inputs, which the script itself refuses to do. Supply the data, or treat the table as the record of the machine that had it"
output not older than its code: outputs/audit_claims.csv,at least as new as scripts/audit_claims.py and the 0 ystwin modules it reaches,current,PASS,
output not older than its code: outputs/audit_determinism.csv,at least as new as scripts/audit_determinism.py and the 24 ystwin modules it reaches and the 1 outputs/ table(s) it reads,current,PASS,
output not older than its code: outputs/audit_output_tables.csv,at least as new as scripts/audit_output_tables.py and the 2 ystwin modules it reaches,0.0 h stale,FAIL,src/ystwin/paths.py changed after this table was written; re-run scripts/audit_output_tables.py or the table describes behaviour the code no longer has
output not older than its code: outputs/audit_reproducibility.csv,at least as new as scripts/audit_reproducibility.py and the 3 ystwin modules it reaches and the 1 outputs/ table(s) it reads,current,PASS,
output not older than its code: outputs/autofluorescence_measured.csv,at least as new as scripts/measure_autofluorescence.py and the 5 ystwin modules it reaches,74.3 h stale,SKIP,"74.3 h stale and NOT REBUILDABLE HERE: scripts/measure_autofluorescence.py needs ['gen5_xpt_dir'], which resolve to nothing on this machine. src/ystwin/paths.py changed after the table was written, so it may describe behaviour the code no longer has -- but re-running here would replace it with a table built from partial inputs, which the script itself refuses to do. Supply the data, or treat the table as the record of the machine that had it"
output not older than its code: outputs/autofluorescence_sensitivity.csv,at least as new as scripts/plate_readings.py and the 7 ystwin modules it reaches and the 1 outputs/ table(s) it reads,59.0 h stale,SKIP,"59.0 h stale and NOT REBUILDABLE HERE: scripts/plate_readings.py needs ['biosensor_plates', 'gen5_xpt_dir', 'igem_results'], which resolve to nothing on this machine. src/ystwin/paths.py changed after the table was written, so it may describe behaviour the code no longer has -- but re-running here would replace it with a table built from partial inputs, which the script itself refuses to do. Supply the data, or treat the table as the record of the machine that had it"
output not older than its code: outputs/autofluorescence_sensitivity.csv,at least as new as scripts/run_sensor_characterisation.py and the 11 ystwin modules it reaches,59.0 h stale,SKIP,"59.0 h stale and NOT REBUILDABLE HERE: scripts/run_sensor_characterisation.py needs ['biosensor_plates'], which resolve to nothing on this machine. src/ystwin/paths.py changed after the table was written, so it may describe behaviour the code no longer has -- but re-running here would replace it with a table built from partial inputs, which the script itself refuses to do. Supply the data, or treat the table as the record of the machine that had it"
output not older than its code: outputs/batch_sufficiency.csv,at least as new as scripts/batch_sufficiency.py and the 8 ystwin modules it reaches,22.7 h stale,FAIL,src/ystwin/pathway/spec.py changed after this table was written; re-run scripts/batch_sufficiency.py or the table describes behaviour the code no longer has
output not older than its code: outputs/carotenoid_fit.csv,at least as new as scripts/fit_carotenoid_kinetics.py and the 3 ystwin modules it reaches,0.8 h stale,FAIL,src/ystwin/paths.py changed after this table was written; re-run scripts/fit_carotenoid_kinetics.py or the table describes behaviour the code no longer has
output not older than its code: outputs/carotenoid_heldout.csv,at least as new as scripts/fit_carotenoid_kinetics.py and the 3 ystwin modules it reaches,0.8 h stale,FAIL,src/ystwin/paths.py changed after this table was written; re-run scripts/fit_carotenoid_kinetics.py or the table describes behaviour the code no longer has
output not older than its code: outputs/carotenoid_parsimony.csv,at least as new as scripts/fit_carotenoid_kinetics.py and the 3 ystwin modules it reaches,0.8 h stale,FAIL,src/ystwin/paths.py changed after this table was written; re-run scripts/fit_carotenoid_kinetics.py or the table describes behaviour the code no longer has
output not older than its code: outputs/carotenoid_strain_capacity.csv,at least as new as scripts/fit_carotenoid_kinetics.py and the 3 ystwin modules it reaches,0.8 h stale,FAIL,src/ystwin/paths.py changed after this table was written; re-run scripts/fit_carotenoid_kinetics.py or the table describes behaviour the code no longer has
output not older than its code: outputs/condition_sweep.csv,at least as new as scripts/sweep_conditions.py and the 27 ystwin modules it reaches,47.8 h stale,FAIL,src/ystwin/predict.py changed after this table was written; re-run scripts/sweep_conditions.py or the table describes behaviour the code no longer has
output not older than its code: outputs/cross_family_optimism.csv,at least as new as scripts/run_cross_family.py and the 17 ystwin modules it reaches,74.2 h stale,FAIL,src/ystwin/paths.py changed after this table was written; re-run scripts/run_cross_family.py or the table describes behaviour the code no longer has
output not older than its code: outputs/cross_family_transfer.csv,at least as new as scripts/run_cross_family.py and the 17 ystwin modules it reaches,74.2 h stale,FAIL,src/ystwin/paths.py changed after this table was written; re-run scripts/run_cross_family.py or the table describes behaviour the code no longer has
output not older than its code: outputs/d1_capacity_sweep_ec.csv,at least as new as scripts/parked/run_d1.py and the 6 ystwin modules it reaches,74.0 h stale,FAIL,src/ystwin/paths.py changed after this table was written; re-run scripts/parked/run_d1.py or the table describes behaviour the code no longer has
output not older than its code: outputs/d2_20260701_ER_preliminary_(RAW)__mCitrine.csv,at least as new as scripts/run_d2.py and the 9 ystwin modules it reaches,74.3 h stale,SKIP,"74.3 h stale and NOT REBUILDABLE HERE: scripts/run_d2.py needs ['igem_results'], which resolve to nothing on this machine. src/ystwin/paths.py changed after the table was written, so it may describe behaviour the code no longer has -- but re-running here would replace it with a table built from partial inputs, which the script itself refuses to do. Supply the data, or treat the table as the record of the machine that had it"
output not older than its code: outputs/d2_20260709_ER_stress_1st_(RAW)__mCitrine.csv,at least as new as scripts/run_d2.py and the 9 ystwin modules it reaches,74.3 h stale,SKIP,"74.3 h stale and NOT REBUILDABLE HERE: scripts/run_d2.py needs ['igem_results'], which resolve to nothing on this machine. src/ystwin/paths.py changed after the table was written, so it may describe behaviour the code no longer has -- but re-running here would replace it with a table built from partial inputs, which the script itself refuses to do. Supply the data, or treat the table as the record of the machine that had it"
output not older than its code: outputs/d2_g1passed_20260701_ER_preliminary_(RAW).csv,at least as new as scripts/run_gates.py and the 10 ystwin modules it reaches,74.4 h stale,SKIP,"74.4 h stale and NOT REBUILDABLE HERE: scripts/run_gates.py needs ['biosensor_plates', 'igem_results'], which resolve to nothing on this machine. src/ystwin/paths.py changed after the table was written, so it may describe behaviour the code no longer has -- but re-running here would replace it with a table built from partial inputs, which the script itself refuses to do. Supply the data, or treat the table as the record of the machine that had it"
