pmcid,pmid,title,journal,year,cited_in
PMC2719611,19607691,Deterministic mathematical models of the cAMP pathway in Saccharomyces cerevisiae,BMC Syst Biol,2009,src/ystwin/mech/carbon_williamson2009.py:197;src/ystwin/mech/carbon_williamson2009.py:210;src/ystwin/mech/carbon_williamson2009.py:5;tests/test_carbon_williamson2009_transcription.py:222
PMC2776018,19874630,Validation of reference genes for quantitative expression analysis by real-time RT-PCR in Saccharomyces cerevisiae,BMC Mol Biol,2009,docs/research/UPR_ANCHOR.md:714
PMC2786542,19801484,Metabolic engineering of Saccharomyces cerevisiae for astaxanthin production and oxidative stress tolerance,Appl Environ Microbiol,2009,docs/EXTERNAL_PRODUCT_VALIDATION.md:273;scripts/matched_contrast.py:249
PMC2897766,20625545,BiP binding to the ER-stress sensor Ire1 tunes the homeostatic behavior of the unfolded protein response,PLoS Biol,2010,docs/research/PARAMETER_SOURCES.md:652;docs/research/UPR_ANCHOR.md:701
PMC3082176,21444684,Homeostatic adaptation to endoplasmic reticulum stress depends on Ire1 kinase activity,J Cell Biol,2011,docs/research/UPR_ANCHOR.md:706
PMC3326325,22167470,A central fragment of ribosomal protein S26 containing the eukaryote-specific motif YxxPKxYxK is a key component of the ribosomal binding site of mRNA region 5' of the E site codon,Nucleic Acids Res,2012,docs/CITATION_AUDIT.md:114;docs/CITATION_AUDIT.md:143;docs/CITATION_AUDIT.md:43;docs/CITATION_AUDIT.md:47;docs/SOURCE_AUDIT.md:393;docs/SOURCE_AUDIT.md:97;docs/research/G4_STATISTICS.md:110;docs/research/UPR_ANCHOR.md:735;docs/research/UPR_ANCHOR.md:808;scripts/refresh_citations.py:25;tests/test_citations.py:259;tests/test_citations.py:269;tests/test_citations.py:270
PMC3326333,22228834,Correction of RT-qPCR data for genomic DNA-derived signals with ValidPrime,Nucleic Acids Res,2012,docs/CITATION_AUDIT.md:114;docs/CITATION_AUDIT.md:143;docs/CITATION_AUDIT.md:43;docs/SOURCE_AUDIT.md:393;docs/SOURCE_AUDIT.md:398;docs/SOURCE_AUDIT.md:97;docs/research/G4_STATISTICS.md:110;docs/research/UPR_ANCHOR.md:734;docs/research/UPR_ANCHOR.md:808;tests/test_citations.py:259;tests/test_citations.py:268
PMC3506951,23021432,Genome-wide analysis of intracellular pH reveals quantitative control of cell division rate by pH(c) in Saccharomyces cerevisiae,Genome Biol,2012,src/ystwin/mech/ph.py:321
PMC3519744,23009357,Engineering of acetyl-CoA metabolism for the improved production of polyhydroxybutyrate in Saccharomyces cerevisiae,AMB Express,2012,docs/EXTERNAL_PRODUCT_VALIDATION.md:183
PMC3527295,22938570,Combined metabolic engineering of precursor and co-factor supply to increase α-santalene production by Saccharomyces cerevisiae,Microb Cell Fact,2012,docs/SECOND_DATASET_HUNT.md:239;scripts/score_all_products.py:118
PMC3547829,23341767,An integrative model of ion regulation in yeast,PLoS Comput Biol,2013,src/ystwin/mech/ph_ke2013.py:185;src/ystwin/mech/ph_ke2013.py:188;src/ystwin/mech/ph_ke2013.py:4
PMC358971,8423809,The promoter region of the yeast KAR2 (BiP) gene contains a regulatory domain that responds to the presence of unfolded proteins in the endoplasmic reticulum,Mol Cell Biol,1993,docs/research/UPR_ANCHOR.md:677
PMC3610212,23514405,Specific growth rate and substrate dependent polyhydroxybutyrate production in Saccharomyces cerevisiae,AMB Express,2013,docs/EXTERNAL_PRODUCT_VALIDATION.md:110;docs/MEASUREMENTS_NEEDED.md:419;scripts/score_phb_environment.py:5;tests/test_phb_environment.py:3
PMC3658269,23591774,Dissecting specific and global transcriptional regulation of bacterial gene expression,Mol Syst Biol,2013,docs/research/EXTERNAL_DATA.md:41
PMC3677637,23762021,"Quantitative analysis of glycerol accumulation, glycolysis and growth under hyper osmotic stress",PLoS Comput Biol,2013,scripts/fetch_hog_reference.py:126
PMC3817408,24169404,Promoters maintain their relative activity levels under different growth conditions,Mol Syst Biol,2013,docs/research/EXTERNAL_DATA.md:40
PMC3847955,24041253,Dilution and the theoretical description of growth-rate dependent gene expression,J Biol Eng,2013,docs/CITATION_AUDIT.md:132;docs/SOURCE_AUDIT.md:395;docs/SOURCE_AUDIT.md:505;docs/research/PARAMETER_SOURCES.md:134;docs/research/PARAMETER_SOURCES.md:135;docs/research/PARAMETER_SOURCES.md:581;src/ystwin/generator/literature.py:65
PMC394856,8313910,YAP1 dependent activation of TRX2 is essential for the response of Saccharomyces cerevisiae to oxidative stress by hydroperoxides,EMBO J,1994,docs/CITATION_AUDIT.md:131;docs/research/UPR_ANCHOR.md:755
PMC4036733,,"Correction: Quantitative Analysis of Glycerol Accumulation, Glycolysis and Growth under Hyper Osmotic Stress",PLoS Comput Biol,2014,scripts/fetch_hog_reference.py:129
PMC4185378,25283467,Diversity in ATP concentrations in a single bacterial cell population revealed by quantitative single-cell imaging,Sci Rep,2014,docs/SOURCE_AUDIT.md:115
PMC4510654,26168783,A highly selective biosynthetic pathway to non-natural C50 carotenoids assembled from moderately selective enzymes,Nat Commun,2015,docs/research/PRODUCT_OBSERVATION.md:133;src/ystwin/observation.py:231
PMC4915043,27329233,Lycopene overproduction in Saccharomyces cerevisiae through combining pathway engineering with host engineering,Microb Cell Fact,2016,docs/MEASUREMENTS_NEEDED.md:140
PMC4938784,27320198,Defining the Essential Function of Yeast Hsf1 Reveals a Compact Transcriptional Program for Maintaining Eukaryotic Proteostasis,Mol Cell,2016,docs/research/PARAMETER_SOURCES.md:652
PMC4981887,27515486,Systems Level Analysis of the Yeast Osmo-Stat,Sci Rep,2016,src/ystwin/mech/cell_wall_talemi2016.py:233;src/ystwin/mech/cell_wall_talemi2016.py:252;src/ystwin/mech/cell_wall_talemi2016.py:274;src/ystwin/mech/cell_wall_talemi2016.py:5
PMC509300,15314654,IRE1-independent gain control of the unfolded protein response,PLoS Biol,2004,docs/research/UPR_ANCHOR.md:620
PMC5114014,27692069,The fail-safe mechanism of post-transcriptional silencing of unspliced HAC1 mRNA,Elife,2016,docs/research/UPR_ANCHOR.md:616
PMC5127643,27831465,Dynamic control of Hsf1 during heat shock by a chaperone switch and phosphorylation,Elife,2016,src/ystwin/mech/state.py:431
PMC5438251,28418333,Nonlinear feedback drives homeostatic plasticity in H(2)O(2) stress response,Elife,2017,tests/test_native_reference_models.py:299
PMC5471302,28663741,Melatonin Reduces Oxidative Stress Damage Induced by Hydrogen Peroxide in Saccharomyces cerevisiae,Front Microbiol,2017,docs/research/UPR_ANCHOR.md:770
PMC5809143,29393852,Hsf1 and Hsp70 constitute a two-component feedback loop that regulates the yeast heat shock response,Elife,2018,src/ystwin/mech/heat_zheng2016.py:161;tests/test_native_reference_models.py:349
PMC5814838,29165698,Nuclear mRNA degradation tunes the gain of the unfolded protein response in Saccharomyces cerevisiae,Nucleic Acids Res,2018,docs/research/UPR_ANCHOR.md:694
PMC6516660,31086389,Construction of a pathway to C50-ε-carotene,PLoS One,2019,docs/research/PRODUCT_OBSERVATION.md:133
PMC6627864,31212749,Translation Control of HAC1 by Regulation of Splicing in Saccharomyces cerevisiae,Int J Mol Sci,2019,docs/research/UPR_ANCHOR.md:625
PMC6976801,31843263,Weak Acid Permeation in Synthetic Lipid Vesicles and Across the Yeast Plasma Membrane,Biophys J,2020,src/ystwin/mech/ph.py:231;tests/test_mech_ph.py:169
PMC7028085,31654410,"Physiological responses of Saccharomyces cerevisiae to industrially relevant conditions: Slow growth, low pH, and high CO(2) levels",Biotechnol Bioeng,2020,src/ystwin/bridge/stress_diversion.py:64;src/ystwin/fba/stress_pools.py:208
PMC7617979,40562331,ATP requirements for growth reveal the bioenergetic impact of mitochondrial symbiosis,Biochim Biophys Acta Bioenerg,2025,src/ystwin/fba/insulin.py:161
PMC7646510,32597660,Phosphoproteome Response to Dithiothreitol Reveals Unique Versus Shared Features of Saccharomyces cerevisiae Stress Responses,J Proteome Res,2020,docs/CITATION_AUDIT.md:132;docs/SOURCE_AUDIT.md:394;docs/SOURCE_AUDIT.md:505;docs/research/PARAMETER_SOURCES.md:229;docs/research/PARAMETER_SOURCES.md:516;docs/research/PARAMETER_SOURCES.md:91;src/ystwin/generator/literature.py:53;src/ystwin/generator/literature.py:57;src/ystwin/generator/literature.py:83;src/ystwin/generator/stress_panel.py:346;tests/test_stress_panel.py:205
PMC8002603,33802931,Does Saccharomyces cerevisiae Require Specific Post-Translational Silencing against Leaky Translation of Hac1up?,Microorganisms,2021,docs/research/UPR_ANCHOR.md:629
PMC8276805,34047633,The Yeast eIF2 Kinase Gcn2 Facilitates H(2)O(2)-Mediated Feedback Inhibition of Both Protein Synthesis and Endoplasmic Reticulum Oxidative Folding during Recombinant Protein Production,Appl Environ Microbiol,2021,docs/research/UPR_ANCHOR.md:653;src/ystwin/citations.py:46
PMC8836091,35163590,Induction of the Unfolded Protein Response at High Temperature in Saccharomyces cerevisiae,Int J Mol Sci,2022,docs/research/UPR_ANCHOR.md:636
PMC8916112,35238938,Modelling of glucose repression signalling in yeast Saccharomyces cerevisiae,FEMS Yeast Res,2022,src/ystwin/mech/contracts.py:294
PMC9596429,36284099,Termination of the unfolded protein response is guided by ER stress-induced HAC1 mRNA nuclear retention,Nat Commun,2022,docs/research/UPR_ANCHOR.md:643
PMC9790636,35429225,pH dependencies of glycolytic enzymes of yeast under in vivo-like assay conditions,FEBS J,2022,src/ystwin/mech/ph.py:1199;src/ystwin/mech/ph.py:369;src/ystwin/mech/ph.py:421;src/ystwin/mech/ph.py:723;tests/test_mech_ph.py:908;tests/test_mech_ph.py:946
