pmid,title,journal,year,cited_in
14562106,Global analysis of protein expression in yeast,Nature,2003,src/ystwin/mech/burden.py:384
14611662,Application of independent component analysis to microarrays,Genome Biol,2003,docs/research/STRESS_RULES.md:213;docs/research/STRESS_RULES.md:589
14645222,Decrease of H2O2 plasma membrane permeability during adaptation to H2O2 in Saccharomyces cerevisiae,J Biol Chem,2004,src/ystwin/mech/oxidative.py:226;src/ystwin/mech/oxidative.py:7;src/ystwin/mech/state.py:476
14673099,Network component analysis: reconstruction of regulatory signals in biological systems,Proc Natl Acad Sci U S A,2003,docs/FINDINGS.md:707;docs/research/STRESS_RULES.md:207;docs/research/STRESS_RULES.md:236;docs/research/STRESS_RULES.md:577
14676322,High-resolution yeast phenomics resolves different physiological features in the saline response,Proc Natl Acad Sci U S A,2003,docs/research/PARAMETER_SOURCES.md:550
14748040,Optimal designs for Michaelis-Menten kinetic studies,Stat Med,2004,docs/WHY_INTERPOLATION_WORKS.md:50
1503777,Magnesium-dependent thermostability of DNase I,Biotechniques,1992,docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:748
15129285,Integrating high-throughput and computational data elucidates bacterial networks,Nature,2004,docs/research/STRESS_RULES.md:291
15135069,Regulation of the yeast phospholipid hydroperoxide glutathione peroxidase GPX2 by oxidative stress is mediated by Yap1 and Skn7,FEBS Lett,2004,docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:765
15225652,Distinct regulatory mechanism of yeast GPX2 encoding phospholipid hydroperoxide glutathione peroxidase by oxidative stress and a calcineurin/Crz1-mediated Ca2+ signaling pathway,FEBS Lett,2004,docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:767
1523884,Effect of benzoic acid on metabolic fluxes in yeasts: a continuous-culture study on the regulation of respiration and alcoholic fermentation,Yeast,1992,src/ystwin/fba/stress_oxygen.py:230;src/ystwin/fba/stress_oxygen.py:234
15314654,IRE1-independent gain control of the unfolded protein response,PLoS Biol,2004,docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:619
15343339,Transcriptional regulatory code of a eukaryotic genome,Nature,2004,docs/EXTERNAL_VALIDATION.md:576;docs/EXTERNAL_VALIDATION.md:67;docs/research/PARAMETER_SOURCES.md:151;docs/research/PARAMETER_SOURCES.md:432
15353451,A Bayesian approach to reconstructing genetic regulatory networks with hidden factors,Bioinformatics,2005,docs/research/STRESS_RULES.md:209
15353587,Sfp1 is a stress- and nutrient-sensitive regulator of ribosomal protein gene expression,Proc Natl Acad Sci U S A,2004,docs/research/STRESS_RULES.md:475;docs/research/STRESS_RULES.md:93
15608218,PROPHECY--a database for high-resolution phenomics,Nucleic Acids Res,2005,docs/research/PARAMETER_SOURCES.md:158;docs/research/PARAMETER_SOURCES.md:553
15628880,Kinetic analysis of YPD1-dependent phosphotransfer reactions in the yeast osmoregulatory phosphorelay system,Biochemistry,2005,src/ystwin/mech/state.py:380;src/ystwin/mech/state.py:389;tests/test_mech_integrate.py:618
1593896,Network analysis of intermediary metabolism using linear optimization. I. Development of mathematical formalism,J Theor Biol,1992,docs/research/HYBRID_METHODS.md:60
1593897,Network analysis of intermediary metabolism using linear optimization. II. Interpretation of hybridoma cell metabolism,J Theor Biol,1992,docs/research/HYBRID_METHODS.md:60
16025103,Integrative model of the response of yeast to osmotic shock,Nat Biotechnol,2005,docs/research/STRESS_RULES.md:165;docs/research/STRESS_RULES.md:178;docs/research/STRESS_RULES.md:575
16123130,Tuning genetic control through promoter engineering,Proc Natl Acad Sci U S A,2005,docs/SECOND_DATASET_HUNT.md:223;docs/SECOND_DATASET_HUNT.md:305
16317076,Systems Biology Toolbox for MATLAB: a computational platform for research in systems biology,Bioinformatics,2006,src/ystwin/mech/carbon_williamson2009.py:476
16371132,Yeast unfolded protein response pathway regulates expression of genes for anti-oxidative stress and for cell surface proteins,Genes Cells,2006,docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:670
16403793,Using a state-space model with hidden variables to infer transcription factor activities,Bioinformatics,2006,docs/research/STRESS_RULES.md:208
16407158,Generating disulfides enzymatically: reaction products and electron acceptors of the endoplasmic reticulum thiol oxidase Ero1p,Proc Natl Acad Sci U S A,2006,src/ystwin/fba/insulin.py:418;src/ystwin/fba/stress_heterologous.py:10;tests/test_insulin_pathway.py:282;tests/test_stress_heterologous.py:473
16488912,Exploring the potential of the bacterial carotene desaturase CrtI to increase the beta-carotene content in Golden Rice,J Exp Bot,2006,docs/research/STRESS_RULES.md:404
16522208,An improved map of conserved regulatory sites for Saccharomyces cerevisiae,BMC Bioinformatics,2006,docs/EXTERNAL_VALIDATION.md:109;docs/EXTERNAL_VALIDATION.md:573;docs/FINDINGS.md:954;docs/PRODUCT_ARCHITECTURE.md:136;scripts/run_external_validation.py:134;scripts/run_external_validation.py:141;scripts/run_regulation.py:125;src/ystwin/bridge/regulation.py:110
16534932,Convenient Model To Describe the Combined Effects of Temperature and pH on Microbial Growth,Appl Environ Microbiol,1995,docs/research/GENERATOR_REALISM.md:389;docs/research/GENERATOR_REALISM.md:474;src/ystwin/generator/context.py:300;src/ystwin/generator/context.py:333;src/ystwin/generator/context.py:351
16554305,Crystal structure of type-III geranylgeranyl pyrophosphate synthase from Saccharomyces cerevisiae and the mechanism of product chain length determination,J Biol Chem,2006,docs/research/STRESS_RULES.md:422
16556235,A stress regulatory network for co-ordinated activation of proteasome expression mediated by yeast heat shock transcription factor,Mol Microbiol,2006,docs/CROSS_FAMILY.md:63;docs/SOURCE_AUDIT.md:354;docs/research/PARAMETER_SOURCES.md:499;docs/research/PARAMETER_SOURCES.md:74;docs/research/PARAMETER_SOURCES.md:97;src/ystwin/generator/families.py:388;src/ystwin/generator/stress_panel.py:237
16606697,Integrated analysis of regulatory and metabolic networks reveals novel regulatory mechanisms in Saccharomyces cerevisiae,Genome Res,2006,docs/research/STRESS_RULES.md:290
16762362,Comprehensive analysis of combinatorial regulation using the transcriptional regulatory network of yeast,J Mol Biol,2006,docs/research/PARAMETER_SOURCES.md:155;docs/research/PARAMETER_SOURCES.md:440
16788595,Putative regulatory sites unraveled by network-embedded thermodynamic analysis of metabolome data,Mol Syst Biol,2006,docs/FINDINGS.md:2255;docs/SOURCE_AUDIT.md:376;src/ystwin/bridge/thermodynamic.py:10;tests/test_thermodynamic_bridge.py:11
16862137,A comprehensive library of fluorescent transcriptional reporters for Escherichia coli,Nat Methods,2006,docs/research/EXTERNAL_DATA.md:256;docs/research/GENERALIZATION.md:316;docs/research/GENERALIZATION.md:693;docs/research/PARAMETER_SOURCES.md:367;docs/research/PARAMETER_SOURCES.md:617
16896607,Hydrogen peroxide-induced astaxanthin biosynthesis and catalase activity in Xanthophyllomyces dendrorhous,Appl Microbiol Biotechnol,2006,src/ystwin/bridge/stress_diversion.py:87;src/ystwin/bridge/stress_diversion.py:92
16899212,Error propagation in relative real-time reverse transcription polymerase chain reaction quantification models: the balance between accuracy and precision,Anal Biochem,2006,docs/SOURCE_AUDIT.md:386;docs/research/G4_STATISTICS.md:117
17023428,The transcriptional response of the yeast Na(+)-ATPase ENA1 gene to alkaline stress involves three main signaling pathways,J Biol Chem,2006,docs/research/PARAMETER_SOURCES.md:486;docs/research/PARAMETER_SOURCES.md:68;src/ystwin/generator/stress_panel.py:557
17105650,Growth-rate regulated genes have profound impact on interpretation of transcriptome profiling in Saccharomyces cerevisiae,Genome Biol,2006,docs/research/STRESS_RULES.md:103;docs/research/STRESS_RULES.md:104;docs/research/STRESS_RULES.md:113;docs/research/STRESS_RULES.md:31;docs/research/STRESS_RULES.md:479
17108329,SCFCdc4-mediated degradation of the Hac1p transcription factor regulates the unfolded protein response in Saccharomyces cerevisiae,Mol Biol Cell,2007,src/ystwin/mech/upr.py:282;src/ystwin/mech/upr.py:812
17172310,Thermodynamics-based metabolic flux analysis,Biophys J,2007,docs/SOURCE_AUDIT.md:374;src/ystwin/bridge/tmfa.py:8;tests/test_tmfa.py:8
17192845,Factors involved in anaerobic growth of Saccharomyces cerevisiae,Yeast,2007,src/ystwin/fba/stress_oxygen.py:19;src/ystwin/fba/stress_oxygen.py:375
17210445,Reactions of yeast thioredoxin peroxidases I and II with hydrogen peroxide and peroxynitrite: rate constants by competitive kinetics,Free Radic Biol Med,2007,docs/superseded/pool-before-regulon.md:52;src/ystwin/generator/stress_panel.py:331;src/ystwin/mech/oxidative.py:491;tests/test_per_module_potency.py:23
17237792,Single-cell quantification of molecules and rates using open-source microscope-based cytometry,Nat Methods,2007,docs/research/EXTERNAL_DATA.md:349;src/ystwin/mech/state.py:501;tests/test_mech_integrate.py:337
17287356,Increasing NADH oxidation reduces overflow metabolism in Saccharomyces cerevisiae,Proc Natl Acad Sci U S A,2007,docs/FINDINGS.md:2240;docs/SOURCE_AUDIT.md:378;src/ystwin/bridge/thermodynamic.py:6;tests/test_thermodynamic_bridge.py:6
17484738,Generic and specific transcriptional responses to different weak organic acids in anaerobic chemostat cultures of Saccharomyces cerevisiae,FEMS Yeast Res,2007,src/ystwin/mech/ph.py:1594;src/ystwin/mech/ph.py:534
17496128,High-level production of beta-carotene in Saccharomyces cerevisiae by successive transformation with carotenogenic genes from Xanthophyllomyces dendrorhous,Appl Environ Microbiol,2007,docs/EXTERNAL_CAROTENOID_BOUND.md:113;docs/EXTERNAL_CAROTENOID_BOUND.md:240;docs/FINDINGS.md:84;docs/MEASUREMENTS_NEEDED.md:275;docs/research/CALIBRATION_DATA.md:120;docs/research/CAROTENOID_ENERGIES.md:7;docs/research/STRESS_RULES.md:403;docs/research/STRESS_RULES.md:455;docs/research/STRESS_RULES.md:580;docs/research/STRESS_RULES.md:582;src/ystwin/fba/carotenoid.py:167;tests/test_carotenoid_ec.py:133;tests/test_carotenoid_pathway.py:62
17573937,"Commonly used Saccharomyces cerevisiae strains (e.g. BY4741, W303) are growth sensitive on synthetic complete medium due to poor leucine uptake",FEMS Microbiol Lett,2007,docs/research/PARAMETER_SOURCES.md:128;docs/research/PARAMETER_SOURCES.md:237;docs/research/PARAMETER_SOURCES.md:560
17605132,Comparative genomics of the environmental stress response in ascomycete fungi,Yeast,2007,docs/research/PARAMETER_SOURCES.md:414;docs/research/STRESS_RULES.md:87
17959824,"Coordination of growth rate, cell cycle, stress response, and metabolic activity in yeast",Mol Biol Cell,2008,docs/SOURCE_AUDIT.md:387;docs/research/STRESS_RULES.md:100;docs/research/STRESS_RULES.md:101;docs/research/STRESS_RULES.md:102;docs/research/STRESS_RULES.md:215;docs/research/STRESS_RULES.md:29;docs/research/STRESS_RULES.md:479;docs/research/STRESS_RULES.md:99;docs/research/UPR_ANCHOR.md:781
18218902,The frequency dependence of osmo-adaptation in Saccharomyces cerevisiae,Science,2008,docs/research/STRESS_RULES.md:164;docs/research/STRESS_RULES.md:477;docs/research/STRESS_RULES.md:494;src/ystwin/mech/state.py:465
18374652,Diverse two-dimensional input functions control bacterial sugar genes,Mol Cell,2008,docs/research/GENERALIZATION.md:325;docs/research/GENERALIZATION.md:698
18383140,Determination of the cytosolic free NAD/NADH ratio in Saccharomyces cerevisiae under steady-state and highly dynamic conditions,Biotechnol Bioeng,2008,docs/FINDINGS.md:2394;docs/SOURCE_AUDIT.md:375;src/ystwin/bridge/tmfa.py:196;tests/test_tmfa.py:111
18469822,Real-time imaging of the intracellular glutathione redox potential,Nat Methods,2008,docs/SOURCE_AUDIT.md:357;src/ystwin/generator/stress_panel.py:289;src/ystwin/generator/stress_panel.py:564
18502746,Vacuolar and plasma membrane proton pumps collaborate to achieve cytosolic pH homeostasis in yeast,J Biol Chem,2008,src/ystwin/mech/ph.py:627
18555421,Analysis of unstable recombinant Saccharomyces cerevisiae population growth in selective medium,Biotechnol Bioeng,1986,src/ystwin/mech/population.py:433
18576378,Effect of growth rate and expression level on plasmid stability in Saccharomyces cerevisiae,Biotechnol Bioeng,1987,src/ystwin/mech/population.py:285;src/ystwin/mech/population.py:443
18613954,Oxygen dependence of metabolic fluxes and energy generation of Saccharomyces cerevisiae CEN.PK113-1A,BMC Syst Biol,2008,docs/ARCHITECTURE.md:770;docs/EXTERNAL_PRODUCT_VALIDATION.md:205;src/ystwin/bridge/stress_diversion.py:80;src/ystwin/fba/stress_pools.py:36;tests/test_stress_diversion.py:236
18627600,Structure and properties of transcriptional networks driving selenite stress response in yeasts,BMC Genomics,2008,docs/CITATION_AUDIT.md:230;docs/SOURCE_AUDIT.md:356;docs/research/PARAMETER_SOURCES.md:75;docs/research/PARAMETER_SOURCES.md:76;src/ystwin/generator/stress_panel.py:242;src/ystwin/generator/stress_panel.py:274
18636606,A novel feeding strategy for enhanced plasmid stability and protein production in recombinant yeast fedbatch fermentation,Biotechnol Bioeng,1997,src/ystwin/mech/population.py:14;src/ystwin/mech/population.py:368
18676708,Physiological and transcriptional responses to high concentrations of lactic acid in anaerobic chemostat cultures of Saccharomyces cerevisiae,Appl Environ Microbiol,2008,src/ystwin/mech/ph.py:1591;src/ystwin/mech/ph.py:236;src/ystwin/mech/ph.py:243;src/ystwin/mech/ph.py:249;src/ystwin/mech/ph.py:353;src/ystwin/mech/ph.py:360;src/ystwin/mech/ph.py:478;src/ystwin/mech/ph.py:571;src/ystwin/mech/ph.py:684;src/ystwin/mech/ph.py:776;src/ystwin/mech/ph.py:95;tests/test_mech_ph.py:13
18753408,Stress-activated genomic expression changes serve a preparative role for impending stress in yeast,Mol Biol Cell,2008,docs/research/STRESS_RULES.md:167;docs/research/STRESS_RULES.md:168;docs/research/STRESS_RULES.md:476
18818649,Frequency-modulated nuclear localization bursts coordinate gene regulation,Nature,2008,docs/research/STRESS_RULES.md:154;docs/research/STRESS_RULES.md:219;docs/research/STRESS_RULES.md:477;src/ystwin/mech/integrate.py:167;src/ystwin/mech/integrate.py:183;src/ystwin/mech/integrate.py:302;src/ystwin/mech/integrate.py:32;src/ystwin/mech/integrate.py:475;src/ystwin/mech/state.py:125;src/ystwin/mech/state.py:443;tests/test_mech_integrate.py:254;tests/test_mech_integrate.py:271;tests/test_mech_integrate.py:515
18854817,Transient transcriptional responses to stress are generated by opposing effects of mRNA production and degradation,Mol Syst Biol,2008,src/ystwin/mech/state.py:491
19026441,Real-time redox measurements during endoplasmic reticulum stress reveal interlinked protein folding functions,Cell,2008,docs/research/PARAMETER_SOURCES.md:511;src/ystwin/mech/upr.py:441;src/ystwin/mech/upr.py:453
19056679,Slow growth induces heat-shock resistance in normal and respiratory-deficient yeast,Mol Biol Cell,2009,docs/research/STRESS_RULES.md:106;docs/research/STRESS_RULES.md:114;docs/research/STRESS_RULES.md:31;docs/research/STRESS_RULES.md:479
19079236,The unfolded protein response signals through high-order assembly of Ire1,Nature,2009,src/ystwin/mech/upr.py:400;src/ystwin/mech/upr.py:967
19119411,Predicting cellular growth from gene expression signatures,PLoS Comput Biol,2009,docs/research/STRESS_RULES.md:105;docs/research/STRESS_RULES.md:215;docs/research/STRESS_RULES.md:243
19245203,Combined experimental and theoretical study of long-range interactions modulating dimerization and activity of yeast geranylgeranyl diphosphate synthase,J Am Chem Soc,2009,docs/research/STRESS_RULES.md:422
19246112,"Effects of temperature, pH and sugar concentration on the growth parameters of Saccharomyces cerevisiae, S. kudriavzevii and their interspecific hybrid",Int J Food Microbiol,2009,docs/research/GENERATOR_REALISM.md:398;docs/research/GENERATOR_REALISM.md:474;src/ystwin/generator/context.py:308;tests/test_environment_sweep.py:144
19246619,The MIQE guidelines: minimum information for publication of quantitative real-time PCR experiments,Clin Chem,2009,docs/SOURCE_AUDIT.md:384;docs/research/G4_STATISTICS.md:104
19592533,Quantitative physiology of Saccharomyces cerevisiae at near-zero specific growth rates,Appl Environ Microbiol,2009,docs/EXTERNAL_PRODUCT_VALIDATION.md:196;docs/research/EXTERNAL_DATA.md:445;scripts/calibrate_glycogen.py:11
19596242,A systems-level analysis of perfect adaptation in yeast osmoregulation,Cell,2009,docs/research/STRESS_RULES.md:163;docs/research/STRESS_RULES.md:176;docs/research/STRESS_RULES.md:19;docs/research/STRESS_RULES.md:477;docs/research/STRESS_RULES.md:575
19607691,Deterministic mathematical models of the cAMP pathway in Saccharomyces cerevisiae,BMC Syst Biol,2009,src/ystwin/mech/carbon_williamson2009.py:197;src/ystwin/mech/carbon_williamson2009.py:5
19714220,Interpreting expression data with metabolic flux models: predicting Mycobacterium tuberculosis mycolic acid production,PLoS Comput Biol,2009,docs/CLAIM_BOUNDARY.md:194;docs/FINDINGS.md:943;docs/PRODUCT_ARCHITECTURE.md:136;docs/research/STRESS_RULES.md:276;scripts/run_regulation.py:22;src/ystwin/bridge/regulation.py:112;src/ystwin/bridge/regulation.py:115;src/ystwin/bridge/regulation.py:12;src/ystwin/fba/audit.py:30
19734328,Identity of the growth-limiting nutrient strongly affects storage carbohydrate accumulation in anaerobic chemostat cultures of Saccharomyces cerevisiae,Appl Environ Microbiol,2009,docs/EXTERNAL_PRODUCT_VALIDATION.md:194
1975265,Physiology of Saccharomyces cerevisiae in anaerobic glucose-limited chemostat cultures,J Gen Microbiol,1990,docs/PRODUCT_ARCHITECTURE.md:363;docs/PRODUCT_ARCHITECTURE.md:73;docs/research/GENERATOR_REALISM.md:313;docs/research/GENERATOR_REALISM.md:469;src/ystwin/fba/stress_oxygen.py:210;src/ystwin/fba/stress_oxygen.py:216;src/ystwin/fba/stress_oxygen.py:224;src/ystwin/fba/stress_oxygen.py:270;src/ystwin/fba/stress_ph.py:646;src/ystwin/generator/context.py:120;src/ystwin/generator/context.py:198;tests/test_environment_sweep.py:101;tests/test_stress_oxygen.py:289;tests/test_stress_oxygen.py:377;tests/test_stress_ph.py:327
