# The owner's stress diagram, layer by layer, against what is actually in yeast-GEM v9.0.2 and
# in ystwin. One row per diagram item. Read this file, not the module: the module is a loader,
# a validator and three measurements; the table is the work.
#
# SIX VERDICTS, and the one that carries the audit is NOT_METABOLIC.
#   IN_GEM           reactions exist in the SHIPPED yeast-GEM. gem_reactions lists their ids.
#   IN_GEM_RESTORED  reactions exist, but a gene the item needs arrives only through
#                    fba/stress_genes.py::restore_stress_genes. The row names the ORF.
#   IN_MODULE        no GEM reaction of its own; a named ystwin module carries it.
#   NOT_METABOLIC    a regulator with no metabolic reaction. CORRECTLY absent from a metabolic
#                    model -- this is not a gap and must not be counted as one. panel_module
#                    names the ystwin module its pathway is represented by, or "-" when the
#                    pathway itself is unrepresented at the PANEL layer -- a hole of a
#                    different kind from GAP, returned by unrepresented_pathways() and not
#                    by gaps(). Three rows: sensor.GPR1, cascade.PKA_kinases, sensor.SPS.
#   GAP              genuinely missing and closable. The basis states the route.
#   REFUSED          missing, deliberately. The basis states why, and what measurement closes it.
#
# ABSENCE IS ESTABLISHED BY ORF, NEVER BY SYMBOL. cobrapy leaves Gene.name empty, so a symbol
# lookup on a cobra model returns nothing for every gene and the whole diagram reads as absent.
# The map is built from data/gem/yeast-GEM.xml.gz's own fbc:geneProduct labels by
# fba/stress_genes.py::gene_label_map. Two rows here exist because of that trap: GPX3 IS in the
# model, under its systematic name HYR1 (YIR037W) on r_0483; and RHO1 (YPR165W) -- the CWI
# cascade's terminal GTPase -- IS in the model, as a subunit of 1,3-beta-glucan synthase r_0005.
# A symbol sweep calls both absent and both calls are wrong.
#
# ORFs are SGD's, resolved from data/external/sgd/gene_association.sgd.gaf.gz (gitignored) and
# data/external/sgd/regulation/*.json (tracked). WSC1 resolves through its alias SLG1, GPX3
# through HYR1, ACE1 through CUP2, CRT1 through RFX1. Every ORF here is SGD's PRIMARY
# systematic name -- the first entry of the GAF synonym field -- never a merged
# secondary one; test_every_orf_is_sgds_primary_systematic_name re-checks it.
#
# gem_reactions ids are yeast-GEM v9.0.2's own, read out of the vendored SBML this session and
# re-checked on every load by verify_coverage(). panel_module is a key of
# generator/stress_panel.py::MODULES. code_module is a dotted ystwin module.
#
# THIS TABLE AND data/gem/absent_stress_genes.tsv ARE HELD TOGETHER BY ONE INVARIANT: every gene
# stress_genes actually ADDS to the model (verdict GPR_EXTEND or NEW_REACTION, 19 of them) must be
# named by some row here, or a gene was restored for a function nothing represents. It did not
# hold until this pass added adaptation.manganese_homeostasis (SMF2), adaptation.n_glycosylation
# (ALG3) and the four late mannan transferases MNN2/MNN5/MNT2/MNT3. The 20 gene-layer REFUSALS are
# not held to it: seven are the cell-wall cross-linking cluster and have their own REFUSED row
# here; the other thirteen -- CCS1, CYB5, DAP1, ERG28, GLC3, KHA1, MNN4, TOK1, VCX1, VMA21, VMA22,
# VNX1, VPH2 -- are accessory subunits or paralogues of items already represented, and a row
# apiece would be padding. test_every_gene_the_restore_adds_lands_in_some_pathway_row pins both.
#
layer	item	label	orfs	verdict	gem_reactions	panel_module	code_module	basis	source
SENSOR	sensor.MEC1	Mec1 DNA-damage checkpoint kinase	YBR136W	NOT_METABOLIC	-	dna_damage	-	PI3K-like checkpoint kinase. Correctly absent. Its metabolic output is dNTP supply through Rfx1/Crt1 derepression of RNR -- see adaptation.dna_repair_rnr.	Weinert 1994, PMID 7926756
SENSOR	sensor.TEL1	Tel1 checkpoint kinase	YBL088C	NOT_METABOLIC	-	dna_damage	-	As MEC1, and at this granularity redundant with it: both converge on Rad53 -> Dun1 -> Rfx1/Crt1, which is the one arm MODULES['dna_damage'] models. Correctly absent, and no separate module is warranted.	Mallory & Petes 2000, PMID 11095737
SENSOR	sensor.GPR1	Gpr1 glucose-sensing GPCR	YDL035C	NOT_METABOLIC	-	-	-	A GPCR. Correctly absent from the GEM. BUT its pathway is unrepresented in ystwin: no MODULES entry carries cAMP-PKA. Its second messenger IS in the GEM -- see cascade.cAMP_second_messenger -- so the gap is at the panel layer, not the model layer.	Kraakman 1999, PMID 10361302
SENSOR	sensor.TOR	Tor1/Tor2 kinases	YJR066W|YKL203C	NOT_METABOLIC	-	nitrogen	-	Protein kinases. Correctly absent. MODULES['nitrogen'] carries TORC1 -| Gln3/Gat1 and reaches 52 reactions. The TORC1 dynamic block is REJECT (REVISED_BUILD_LIST section 1 row 9): no window in which it is both dynamically live and separable above the noise floor.	Heitman 1991, PMID 1715094
SENSOR	sensor.PMA1	Pma1/Pma2 plasma-membrane H+-ATPase	YGL008C|YPL036W	IN_GEM	r_0227	-	fba.stress_ph	Present and priced. stress_ph.constrain_proton_budget restricts r_0227's rule to PMA1/PMA2 (dropping the Golgi apyrase YND1) and closes the free proton sinks so that a cytosolic proton costs 1 ATP -- measured proton_price 1.000000 under the reference batch regime. MEASURED: blocking r_0227 moves growth by 0.000000 /h in both regimes even with the budget closed, because r_1832 H+ exchange still carries the flux. What binds is the PRICE, not the pump's identity.	Serrano 1986, PMID 3005867; yeast-GEM v9.0.2 r_0227
SENSOR	sensor.VATPASE	V-ATPase, vacuolar and Golgi	YDL185W|YBR127C|YEL027W|YOR270C|YMR054W	IN_GEM	r_1085|r_1086	-	-	Present as two reactions, and they are the model's only ATP-driven TRANSPORT consumers of the cytosolic proton pool: each takes one s_0794 per ATP, where r_0227 takes none and exports the hydrolysis proton to s_0796 instead. Reached by no stress module -- stress_ph names r_4527 and r_1832 as the escapes, not the V-ATPase, and no MODULES entry has a VMA gene in its regulon. THAT OMISSION IS CORRECT, and it is measured rather than assumed: under the reference batch regime with constrain_proton_budget applied, proton_price is 1.0000 ATP with the V-ATPases open and 1.0000 with r_1085/r_1086 both blocked, both carry zero flux at the optimum, and blocking them moves growth by 0.000000 /h. No change to fba/stress_ph.py is warranted.	Kane 2006, PMID 16524922; yeast-GEM v9.0.2 r_1085/r_1086
SENSOR	sensor.RIM101	Rim101 alkaline-pH sensing arm	YHL027W	NOT_METABOLIC	-	alkaline_ph	-	The processed transcription factor. No catalysis. Correctly absent. See cascade.RIM101_proteolysis for its activation step and tf.RIM101 for its regulon.	Li & Mitchell 1997, PMID 9017390
SENSOR	sensor.SPS	SPS amino-acid sensor (Ssy1/Ptr3/Ssy5)	YDR160W|YFR029W|YJL156C	NOT_METABOLIC	-	-	-	Ssy1 is a non-transporting permease homologue; Ssy5 is a protease acting on Stp1/Stp2. Neither moves a metabolite in the GEM sense. Correctly absent from the model. Unrepresented in ystwin: MODULES['nitrogen'] carries TORC1 -| Gln3/Gat1, which is nitrogen QUANTITY, not amino-acid IDENTITY, so the SPS input has no module. Naming gap, not a metabolic gap.	Forsberg & Ljungdahl 2001, PMID 11154269
CASCADE	cascade.HOG	HOG MAPK cascade (Pbs2 -> Hog1)	YJL128C|YLR113W	NOT_METABOLIC	-	osmotic	-	MAP kinase kinase and MAP kinase. Correctly absent from a metabolic model. As a DYNAMIC block it is REJECT (REVISED_BUILD_LIST section 3 C1): under the architecture's own tau/T < 0.146 rule every HOG state reduces to algebra (worst tau/T = 0.1404 at 0.6 M on a 4 h plate, 0.0032 on a fed-batch), and the algebra it reduces to is the Hill already in stress_panel.	Brewster 1993, PMID 7681220; REVISED_BUILD_LIST.md section 3 C1
CASCADE	cascade.CWI	CWI MAPK cascade (Pkc1 -> Bck1 -> Mkk1/2 -> Slt2)	YBL105C|YJL095W|YOR231W|YPL140C|YHR030C	NOT_METABOLIC	-	cell_wall	-	Four kinases. Correctly absent. As a dynamic block it is REJECT (REVISED_BUILD_LIST section 3 A1): zero rate constants published across eight genes, and no RLM1-box strain exists, so criterion (a) is unevaluable.	Levin 2005, PMID 15944456; REVISED_BUILD_LIST.md section 3 A1
CASCADE	cascade.CWI_RHO1	Rho1, the CWI GTPase	YPR165W	IN_GEM	r_0005	cell_wall	-	IN the model, and a symbol sweep says otherwise. YPR165W is a required conjunct of every clause of r_0005's rule ((YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W)), i.e. present in its STRUCTURAL role as the glucan-synthase regulatory subunit, not as a signalling node. Blocking r_0005 is lethal in both regimes, so this one node of the cascade is load-bearing -- for the wrong reason.	Qadota 1996, PMID 8602515; yeast-GEM v9.0.2 r_0005
CASCADE	cascade.UPR	UPR (Ire1 -> HAC1 splicing -> Hac1)	YHR079C|YFL031W	NOT_METABOLIC	-	UPR	fba.stress_proteostasis	Sensor, spliceosome-independent mRNA splicing, and a bZIP factor. None is a metabolic reaction. Correctly absent. MEASURED HOLE: MODULES['UPR'] reaches ZERO reactions through its regulon -- all 7 HAC1 targets at the MacIsaac evidence level are absent from yeast-GEM's gene list. The declared map in this table is what gives it reactions.	Cox & Walter 1996, PMID 8898193; measured with bridge.regulation.load_regulons this session
CASCADE	cascade.cAMP_second_messenger	Adenylate cyclase and cAMP phosphodiesterase	YJL005W|YGL248W|YOR360C	IN_GEM	r_0147|r_0033|r_0034|r_0035|r_0036|r_0037	-	-	The cAMP-PKA cascade's SECOND MESSENGER is fully in yeast-GEM: Cyr1 makes cAMP from ATP (r_0147) and FIVE phosphodiesterase reactions hydrolyse it -- r_0033 (PDE1 or PDE2) and r_0034-r_0037 (PDE2) -- all in Purine metabolism. No ystwin module reaches any of the six. MEASURED: blocking all six moves growth by 1.7e-8 /h shipped and 0.000000 /h at reference batch -- cAMP turnover is inert at max growth, which is why this is reported as coverage and not proposed as a block.	yeast-GEM v9.0.2, subsystem Purine metabolism; Thevelein & de Winde 1999, PMID 10476026
CASCADE	cascade.PKA_kinases	Ras1/2, Tpk1-3, Bcy1	YOR101W|YNL098C|YJL164C|YPL203W|YKL166C|YIL033C	NOT_METABOLIC	-	-	-	The kinase half of cAMP-PKA. Correctly absent from the GEM. Unrepresented in ystwin, and that is the panel gap named at sensor.GPR1. Building it is not proposed here: PKA's outputs (trehalose mobilisation, ribosome biogenesis, STRE repression) are already carried by MODULES['ESR'] and by the pool modules, so a PKA module would double-count them.	Toda 1987, PMID 3037314
CASCADE	cascade.TORC1	TORC1 (Tor1/Tor2 + Kog1 + Tco89)	YJR066W|YKL203C|YHR186C	NOT_METABOLIC	-	nitrogen	-	Correctly absent from the GEM. REJECT as a dynamic block, hardened from DEFER (REVISED_BUILD_LIST section 1 row 9): on a 4 h plate the ribosome state is live by tau/T but is absorbed by the incumbent's own capacity parameter to under 5% of the 0.146 floor; on a 5 d fed-batch it reduces to algebra above mu = 0.0571 /h, which covers almost all of this repo's measured 0.025-0.40 /h range.	Loewith 2002, PMID 12408816; REVISED_BUILD_LIST.md section 1
CASCADE	cascade.SNF1	Snf1/AMPK complex (Snf1 + Snf4 + Sip1/2/Gal83)	YDR477W|YGL115W	NOT_METABOLIC	-	carbon	-	Correctly absent. Represented by MODULES['carbon'] through its terminal factors Adr1 and Cat8, which reach 19 reactions.	Hedbacker & Carlson 2008, PMID 17981722
CASCADE	cascade.RIM101_proteolysis	Rim101 proteolytic activation (Rim13/Rim20/Rim8/Rim21)	YMR154C|YOR275C|YGL045W|YNL294C	NOT_METABOLIC	-	alkaline_ph	-	A calpain-like protease cleaving the Rim101 C-terminus on an ESCRT scaffold. yeast-GEM carries no protein-processing reaction of any kind, so there is nothing to attach this to. Correctly absent. Rim13, Rim20, Rim8 and Rim21; Rim8 is YGL045W, SGD's primary systematic name, and NOT the merged secondary YGL046W an earlier pass of this table carried.	Li & Mitchell 1997, PMID 9017390; Xu & Mitchell 2001, PMID 11698381
CASCADE	cascade.calcineurin	Calcineurin (Cna1/Cmp2 + Cnb1) -> Crz1	YLR433C|YML057W|YKL190W|YNL027W	NOT_METABOLIC	-	calcium	-	A Ca2+/calmodulin-dependent protein phosphatase. Correctly absent. MEASURED HOLE: MODULES['calcium'] reaches ZERO reactions -- CRZ1 has no target at the MacIsaac evidence level at all, so its regulon is empty and gene_scales can scale nothing. Its metabolic effectors exist (adaptation.calcium_homeostasis) and this table is what connects them.	Stathopoulos & Cyert 1997, PMID 9407035; measured with bridge.regulation.load_regulons this session
TF	tf.MSN2	Msn2, STRE	YMR037C	NOT_METABOLIC	-	ESR	-	Transcription factor. Correctly absent from the GEM. Regulon reaches 54 reactions.	Martinez-Pastor 1996, PMID 8641288
TF	tf.MSN4	Msn4, STRE	YKL062W	NOT_METABOLIC	-	ESR	-	As MSN2: a C2H2 zinc-finger factor binding the same STRE, sharing the single MODULES['ESR'] regulon entry with it, and catalysing nothing. Correctly absent.	Martinez-Pastor 1996, PMID 8641288
TF	tf.HAC1	Hac1, UPRE	YFL031W	NOT_METABOLIC	-	UPR	fba.stress_proteostasis	Correctly absent. Its regulon reaches 0 GEM reactions (see cascade.UPR); KAR2 and PDI1 are priced instead through the chaperone sink's GPR.	Cox & Walter 1996, PMID 8898193
TF	tf.HOT1	Hot1, STRE/osmotic	YMR172W	NOT_METABOLIC	-	osmotic	-	Correctly absent. With SKO1 the osmotic regulon reaches 23 reactions.	Rep 1999, PMID 10409737
TF	tf.SKO1	Sko1, CRE	YNL167C	NOT_METABOLIC	-	osmotic	-	An ATF/CREB bZIP repressor converted to an activator by Hog1 phosphorylation. A DNA-binding protein with no catalytic or transport function, so there is no reaction to attach it to. Correctly absent; it shares the osmotic regulon with HOT1.	Proft & Serrano 1999, PMID 9858577
TF	tf.RIM101	Rim101 regulon	YHL027W	NOT_METABOLIC	-	alkaline_ph	-	Correctly absent. MEASURED THINNESS: the RIM101 regulon at the MacIsaac evidence level is 2 genes and reaches exactly 1 reaction. Real, and nearly empty.	Xu & Mitchell 2001, PMID 11698381
TF	tf.HSF1	Hsf1, HSE	YGL073W	NOT_METABOLIC	-	heat	fba.stress_proteostasis	Correctly absent. Regulon reaches 7 reactions. NOTE: no HSE reporter strain exists in this repo -- REPORTERS['HSE-heat'] is a design-time table entry with nothing built behind it -- so the heat module's transcriptional arm is unobservable today.	Sorger & Pelham 1988, PMID 3044613
TF	tf.YAP1	Yap1, YRE	YML007W	NOT_METABOLIC	-	oxidative	-	Correctly absent. With SKN7 the oxidative regulon is the largest reachable one: 130 genes, 29 in the model, 67 reactions.	Kuge & Jones 1994, PMID 8313910
TF	tf.SKN7	Skn7	YHR206W	NOT_METABOLIC	-	oxidative	-	A heat-shock-factor-like response regulator; the receiver domain is phosphorylated, not catalytic. Correctly absent. Listed separately from sensor.SKN7 because the same protein is both the phosphorelay terminus and the factor, and only the second contributes the regulon.	Morgan 1997, PMID 9118942
TF	tf.CRZ1	Crz1, CDRE	YNL027W	NOT_METABOLIC	-	calcium	-	Correctly absent from the GEM, and its regulon is EMPTY at the MacIsaac evidence level -- 0 genes, 0 reactions. The calcium module therefore cannot scale anything today. This is the sharpest reachability hole in the panel.	Stathopoulos & Cyert 1997, PMID 9407035; measured this session
TF	tf.RLM1	Rlm1, RLM1 box	YPL089C	NOT_METABOLIC	-	cell_wall	-	Correctly absent. Regulon is 32 genes but only 1 is in yeast-GEM, reaching 1 reaction.	Jung & Levin 1999, PMID 10594829
TF	tf.AFT1	Aft1, FeRE	YGL071W	NOT_METABOLIC	-	iron	-	Correctly absent. With AFT2 the iron regulon reaches 30 reactions.	Yamaguchi-Iwai 1996, PMID 8670839
TF	tf.AFT2	Aft2, FeRE	YPL202C	NOT_METABOLIC	-	iron	-	The AFT1 paralogue, binding the same FeRE. A DNA-binding protein with no reaction; correctly absent, and it shares the single iron regulon entry with AFT1.	Blaiseau 2001, PMID 11448968
TF	tf.ZAP1	Zap1, ZRE	YJL056C	NOT_METABOLIC	-	zinc	-	Correctly absent. MEASURED HOLE: the ZAP1 regulon at this evidence level is 6 genes, NONE of them in yeast-GEM, so MODULES['zinc'] reaches ZERO reactions -- while the zinc transporters it controls (ZRT1, ZRT2, ZRC1, COT1) ARE in the model. See adaptation.zinc_homeostasis.	Zhao & Eide 1997, PMID 9271382; measured this session
TF	tf.MET4	Met4, Met box	YNL103W	NOT_METABOLIC	-	sulfur	-	Correctly absent. With MET31/MET32 the sulfur regulon reaches 16 reactions.	Thomas & Surdin-Kerjan 1997, PMID 9409150
TF	tf.MET31	Met31	YPL038W	NOT_METABOLIC	-	sulfur	-	A zinc-finger factor binding the Met box as part of the Met4 activation complex. No catalysis; correctly absent. Named separately from MET4 because the regulon is read from MET4/MET31/MET32 together.	Blaiseau 1997, PMID 9199298
TF	tf.MET32	Met32	YDR253C	NOT_METABOLIC	-	sulfur	-	The MET31 paralogue, same Met box, same complex, no catalysis. Correctly absent.	Blaiseau 1997, PMID 9199298
TF	tf.PDR1	Pdr1, PDRE	YGL013C	NOT_METABOLIC	-	xenobiotic	-	Correctly absent. MEASURED HOLE: with PDR3 the regulon is 6 genes, none in yeast-GEM, so MODULES['xenobiotic'] reaches ZERO reactions. See adaptation.xenobiotic_drug_efflux for why that is mostly a property of the GEM and not of the evidence level.	Balzi & Goffeau 1995, PMID 7629054
TF	tf.PDR3	Pdr3, PDRE	YBL005W	NOT_METABOLIC	-	xenobiotic	-	A Zn2Cys6 factor binding the same PDRE as Pdr1 and autoregulating its own promoter. No catalysis; correctly absent. It shares PDR1's regulon, which reaches zero reactions -- see tf.PDR1.	Delaveau 1994, PMID 8078477
TF	tf.RTG1	Rtg1, R box	YOL067C	NOT_METABOLIC	-	retrograde	-	Correctly absent. With RTG3 the retrograde regulon reaches 41 reactions.	Liao & Butow 1993, PMID 8422683
TF	tf.RTG3	Rtg3, R box	YBL103C	NOT_METABOLIC	-	retrograde	-	The bHLH/Zip partner Rtg1 heterodimerises with to bind the R box; neither subunit catalyses anything. Correctly absent, and the pair supplies one regulon reaching 41 reactions.	Jia 1997, PMID 9032238
TF	tf.ADR1	Adr1	YDR216W	NOT_METABOLIC	-	carbon	-	A zinc-finger factor activating peroxisomal and glucose-repressed promoters downstream of Snf1. A DNA-binding protein with no reaction; correctly absent. With CAT8 it reaches 19 reactions.	Young 2003, PMID 12676948
TF	tf.CAT8	Cat8, CSRE	YMR280C	NOT_METABOLIC	-	carbon	-	Correctly absent. NOTE a trap the regulon loader already handles: CAT8.json carries two MacIsaac records in which CAT8 is the TARGET, so reading locus2 without checking locus1 yields a one-gene regulon consisting of CAT8 itself.	Hedges 1995, PMID 7891685
TF	tf.GLN3	Gln3, GATAA	YER040W	NOT_METABOLIC	-	nitrogen	-	Correctly absent. With GAT1 the nitrogen regulon reaches 52 reactions.	Beck & Hall 1999, PMID 10604478
TF	tf.GAT1	Gat1, GATAA	YFL021W	NOT_METABOLIC	-	nitrogen	-	A GATA-family activator binding the same GATAA as Gln3 and redundant with it for most NCR genes. No catalysis; correctly absent, and it shares the nitrogen regulon.	Coffman 1996, PMID 8622686
TF	tf.ROX1	Rox1 hypoxic repressor	YPR065W	NOT_METABOLIC	-	hypoxia	-	Correctly absent. With UPC2 and HAP1 the hypoxia regulon is the deepest reach in the panel: 108 genes, 47 in the model, 108 reactions. Rox1 is a REPRESSOR, and the eflux layer cannot express that -- see adaptation.transcriptional_repression.	Kwast 1998, PMID 9510529
TF	tf.UPC2	Upc2 sterol regulator	YDR213W	NOT_METABOLIC	-	hypoxia	-	A Zn2Cys6 factor that RESPONDS to sterol depletion by derepressing the ERG genes and the sterol uptake genes -- it reads a metabolite's abundance and transforms none of it, so there is no reaction to attach it to. Correctly absent, and the clearest case in this table of sensing a metabolite without metabolising it.	Vik & Rine 2001, PMID 11533229
TF	tf.HAP1	Hap1 heme-responsive factor	YLR256W	NOT_METABOLIC	-	hypoxia	-	As UPC2: a Zn2Cys6 factor whose activity is set by heme, which it senses and does not consume. Correctly absent. With ROX1 and UPC2 it supplies the panel's deepest regulon, 108 reactions.	Zhang & Hach 1999, PMID 11212295
TF	tf.ACE1	Ace1/Cup2, MRE	YGL166W	NOT_METABOLIC	-	copper	-	Correctly absent. SGD's name for ACE1 is CUP2, which is the name MODULE_FACTORS uses.	Thiele 1988, PMID 3043194
TF	tf.MAC1	Mac1, CuRE	YMR021C	NOT_METABOLIC	-	copper	-	Correctly absent. With CUP2 the copper regulon reaches 5 reactions.	Jungmann 1993, PMID 8262047
TF	tf.RFX1	Rfx1/Crt1, X-box	YLR176C	NOT_METABOLIC	-	dna_damage	-	Correctly absent. Regulon reaches 8 reactions, all RNR. Rfx1 is a REPRESSOR whose derepression raises dNTP supply, and the eflux layer's scale = max(0, 1 + a) cannot represent derepression as anything but a raised bound.	Huang 1998, PMID 9741624
TF	tf.RPN4	Rpn4, PACE	YDL020C	NOT_METABOLIC	-	proteasome	-	Correctly absent. Regulon is 68 genes but only 4 are in yeast-GEM, reaching 4 reactions -- the proteasome itself is not a metabolic entity.	Owsianik 2002, PMID 11918814
TF	tf.DOT6	Dot6, PAC motif, RiBi repressor	YER088C	REFUSED	-	-	-	NOT in stress_panel.MODULES, and refused rather than added. Three grounds, all measured: (i) no SGD regulation records file exists for DOT6 in data/external/sgd/regulation, so load_regulons would raise rather than return an empty regulon, and the fix is a data fetch this module does not own; (ii) the coupling constant c_T from RiBi repression to a metabolic bound has no published value in any organism-appropriate source -- see REFUSED_REPRESSION_COUPLING in fba/stress_pathways.py, which raises on float(); (iii) the block was adjudicated REJECT (REVISED_BUILD_LIST section 3 D2) because the committed RNA is one post-read timepoint at 0, 0.2 and 0.5 mM, exactly the doses where nothing moves. What would close it: a PAC-motif regulon at a stated evidence level, plus one RiBi transcript timecourse with a dose that moves it.	REVISED_BUILD_LIST.md section 3 D2; Lippman & Broach 2009, PMID 19901341
